"http://commons.wikimedia.org/wiki/Commons:Copyright_tags",,,,
"template name","display name",,,
"1000Bit","1000 Bit","free-display",,"- images from 1000bit.net, but only for those made by Tiziano Garuti"
"ADRM2",,"nonfree",,"- ""Against DRM 2.0"". It contains two important clauses: a clause about related rights and a clause against DRM (Digital Restrictions Management)."
"AerialPhotograph-mlitJP",,"unknown",,"- images from http://w3land.mlit.go.jp/WebGIS/"
"Agência Brasil","Agência Brasil","free-display",,"- photographs from [http://www.radiobras.gov.br Agência Brasil]. First, on request by [[User:555]] they said ""O uso do material é exclusivamente para fins de cobertura jornalística. Não há qualquer autorização para derivações e uso comercial."" (Use of the material is permitted exclusively for journalistic coverage. Derivations and commercial use are not authorized.) but now they offer the pictures as cc-by-2.5-br."
"anonymous-EU","anonymous-EU","free-display",,"- Anonymous work more than 70 years old (European Union)."
"anonymous work","anonymous work","free-display",,"- Anonymous work more than 50 years old (Berne convention)."
"Apache","Apache  ","free-display",,"- Apache v2.0 license"
"Attribution","Attribution","free-display",,"- Copyrighted, but freely usable given the copyright holder is credited."
"Bild-Picswiss","Bild-Picswiss","free-display",,"- Images from http://www.picswiss.ch/ (Note: Just the images of Roland Zumbühl)"
"Bmz","Bmz","free-display",,"- images from http://www.bmz.amsterdam.nl/adam/index_e.html are copyrighted but may be used if the source is acknowledged as the ''Amsterdam Municipal Department for the Preservation and Restoration of Historic Buildings and Sites (bMA)]''. This applies ''only'' to images for which bMA does not mention some other source."
"BSD","BSD","free-display",,"- BSD license"
"CC-AR-Presidency","Creative Commons AR-Presidency","free-display",,": photographs taken from the [http://www.presidencia.gov.ar Presidency of Argentina web site]."
"cc-by-1.0","Creative Commons Attribution ","free-display",,"- Attribution (''Compatible with [[w:Wikitravel|Wikitravel]]'')"
"cc-by-2.0","Creative Commons Attribution 2.0","free-display",,"- Attribution 2.0"
"cc-by-2.0","Creative Commons Attribution 2.0","free-display",,"- Attribution 2.0"
"cc-by-2.0-at","Creative Commons Attribution 2.0","free-display",,"- Attribution 2.0 Austria"
"cc-by-2.0-br","Creative Commons Attribution 2.0","free-display",,"- Attribution 2.0 Brazil"
"cc-by-2.0-de","Creative Commons Attribution 2.0","free-display",,"- Attribution 2.0 Germany"
"cc-by-2.0-es","Creative Commons Attribution 2.0","free-display",,"- Attribution 2.0 Spain"
"cc-by-2.0-it","Creative Commons Attribution 2.0","free-display",,"- Attribution 2.0 Italy"
"cc-by-2.0-kr","Creative Commons Attribution 2.0","free-display",,"- Attribution 2.0 South Korea"
"cc-by-2.0-nl","Creative Commons Attribution 2.0","free-display",,"- Attribution 2.0 Netherlands"
"cc-by-2.1-au","Creative Commons Attribution 2.1","free-display",,"- Attribution 2.1 Australia based on New South Wales law"
"cc-by-2.5","Creative Commons Attribution 2.5","free-display",,"- Attribution 2.5"
"cc-by-2.5","Creative Commons Attribution 2.5","free-display",,"- Attribution 2.5"
"cc-by-2.5-br","Creative Commons Attribution 2.5","free-display",,"- Attribution 2.5 Brazil"
"cc-by-2.5-es","Creative Commons Attribution 2.5","free-display",,"- Attribution 2.5 Spain"
"cc-by-2.5-in","Creative Commons Attribution 2.5","free-display",,"- Attribution 2.5 India"
"cc-by-2.5-it","Creative Commons Attribution 2.5","free-display",,"- Attribution 2.5 Italy"
"cc-by-2.5-nl","Creative Commons Attribution 2.5","free-display",,"- Attribution 2.5 Netherlands"
"cc-by-2.5-pl","Creative Commons Attribution 2.5","free-display",,"- Attribution 2.5 Poland"
"cc-by-3.0","Creative Commons Attribution 3.0","free-display",,"- Attribution 3.0"
"cc-by-3.0","Creative Commons Attribution 3.0","free-display",,", instead."
"cc-by-3.0-nl","Creative Commons Attribution 3.0","free-display",,"- Attribution 3.0 Netherlands"
"cc-by-3.0-us","Creative Commons Attribution 3.0","free-display",,"- Attribution 3.0 United States"
"cc-by-sa-1.0","Creative Commons Attribution-Sharealike 1.0","free-display",,"- Attribution-Sharealike (''Compatible with [[w:Wikitravel|Wikitravel]]'')"
"cc-by-sa-1.0-fi","Creative Commons Attribution-Sharealike 1.0","free-display",,"- Attribution-Sharealike, version for Finnish law"
"cc-by-sa-2.0","Creative Commons Attribution-Sharealike 2.0","free-display",,"- Attribution-Sharealike 2.0"
"cc-by-sa-2.0","Creative Commons Attribution-Sharealike 2.0","free-display",,"- Attribution-Sharealike 2.0"
"cc-by-sa-2.0-at","Creative Commons Attribution-Sharealike 2.0","free-display",,"- Attribution-Sharealike 2.0 Austria based on Austrian law"
"cc-by-sa-2.0-be","Creative Commons Attribution-Sharealike 2.0","free-display",,"- Attribution-Sharealike 2.0 Belgium based on Belgian law"
"cc-by-sa-2.0-br","Creative Commons Attribution-Sharealike 2.0","free-display",,"- Attribution-Sharealike 2.0 Brazil based on Brazilian law"
"cc-by-sa-2.0-ca","Creative Commons Attribution-Sharealike 2.0","free-display",,"- Attribution-Sharealike 2.0 Canada based on Canadian law"
"cc-by-sa-2.0-de","Creative Commons Attribution-Sharealike 2.0","free-display",,"- Attribution-Sharealike 2.0 Germany based on German law"
"cc-by-sa-2.0-fr","Creative Commons Attribution-Sharealike 2.0","free-display",,"- Attribution-Sharealike 2.0 France based on French law"
"cc-by-sa-2.0-it","Creative Commons Attribution-Sharealike 2.0","free-display",,"- Attribution-Sharealike 2.0 Italy based on Italian law"
"cc-by-sa-2.0-kr","Creative Commons Attribution-Sharealike 2.0","free-display",,"- Attribution-Sharealike 2.0 South Korea based on South Korean law"
"cc-by-sa-2.0-nl","Creative Commons Attribution-Sharealike 2.0","free-display",,"- Attribution-ShareAlike 2.0 Netherlands based on Dutch law"
"cc-by-sa-2.0-tw","Creative Commons Attribution-Sharealike 2.0","free-display",,"- Attribution-Sharealike 2.0 Taiwan based on Taiwanese law"
"cc-by-sa-2.0-uk","Creative Commons Attribution-Sharealike 2.0","free-display",,"- Attribution-Sharealike 2.0 English & Wales based on English law"
"cc-by-sa-2.1-au","Creative Commons Attribution-Sharealike 2.1","free-display",,"- Attribution-Sharealike 2.1 Australia based on New South Wales law"
"cc-by-sa-2.1-es","Creative Commons Attribution-Sharealike 2.1","free-display",,"- Attribution-Sharealike 2.1 Spain based on Spanish law"
"cc-by-sa-2.1-jp","Creative Commons Attribution-Sharealike 2.1","free-display",,"- Attribution-Sharealike 2.1 Japan based on Japanese law"
"cc-by-sa-2.5","Creative Commons Attribution-Sharealike 2.5","free-display",,"- Attribution-Sharealike 2.5"
"cc-by-sa-2.5","Creative Commons Attribution-Sharealike 2.5","free-display",,"- Attribution-Sharealike 2.5 Unported"
"cc-by-sa-2.5,2.0,1.0","Creative Commons Attribution-Sharealike 2.5","free-display",,"to multilicense as cc-by-sa-2.5, cc-by-sa-2.0, and cc-by-sa-1.0."
"cc-by-sa-2.5-br","Creative Commons Attribution-Sharealike 2.5","free-display",,"- Attribution-Sharealike 2.5 Brazil based on Brazilian law"
"cc-by-sa-2.5-de","Creative Commons Attribution-Sharealike 2.5","free-display",,"- Attribution-Sharealike 2.5 Germany based on German law"
"cc-by-sa-2.5-dk","Creative Commons Attribution-Sharealike 2.5","free-display",,"- Attribution-Sharealike 2.5 Denmark based on Danish law"
"cc-by-sa-2.5-es","Creative Commons Attribution-Sharealike 2.5","free-display",,"- Attribution-Sharealike 2.5 Spain based on Spanish law"
"cc-by-sa-2.5-in","Creative Commons Attribution-Sharealike 2.5","free-display",,"- Attribution-Sharealike 2.5 India based on Indian law"
"cc-by-sa-2.5-it","Creative Commons Attribution-Sharealike 2.5","free-display",,"- Attribution-Sharealike 2.5 Italy based on Italian law"
"cc-by-sa-2.5-mx","Creative Commons Attribution-Sharealike 2.5","free-display",,"- Attribution-ShareAlike 2.5 Mexico based in Mexican law"
"cc-by-sa-2.5-nl","Creative Commons Attribution-Sharealike 2.5","free-display",,"- Attribution-ShareAlike 2.5 Netherlands based on Dutch law"
"cc-by-sa-2.5-pl","Creative Commons Attribution-Sharealike 2.5","free-display",,"- Attribution-ShareAlike 2.5 Poland based on Polish law"
"cc-by-sa-2.5-si","Creative Commons Attribution-Sharealike 2.5","free-display",,"- Attribution-ShareAlike 2.5 Slovenia based on Slovenian law"
"cc-by-sa-3.0","Creative Commons Attribution-Sharealike 3.0","free-display",,"- Attribution-Sharealike 3.0"
"cc-by-sa-3.0,2.5,2.0,1.0","Creative Commons Attribution-Sharealike 3.0,2.5,2.0,1.0","free-display",,"to multilicense as cc-by-sa-3.0, cc-by-sa-2.5, cc-by-sa-2.0, and cc-by-sa-1.0."
"cc-by-sa-3.0-nl","Creative Commons Attribution-Sharealike 3.0","free-display",,"- Attribution-ShareAlike 3.0 Netherlands based on Dutch law"
"cc-by-sa-3.0-us","Creative Commons Attribution-Sharealike 3.0","free-display",,"- Attribution-ShareAlike 3.0 US based on United States law"
"cc-pd","Creative Commons Public Domain","free-display",,"for public domain files that use the [http://creativecommons.org/licenses/publicdomain/ Creative Commons Public Domain Dedication]"
"cc-pd","Creative Commons Public Domain","free-display",,"for public domain files that use the [http://creativecommons.org/licenses/publicdomain/ Creative Commons Public Domain Dedication]"
"cc-sa-1.0","Creative Commons Sharealike 1.0","free-display",,"- ShareAlike 1.0 (the only one without the attribution restriction)"
"cc-world66","Creative Commons world66","free-display",,"- Attribution-Sharealike 1.0 for pictures originally submitted to [http://www.world66.com World66] server (''Compatible with [[w:Wikitravel|Wikitravel]]'')"
"cc-zero","Creative Commons Zero","free-display",,"- waives *all* rights (a non-US-centric PD) with [http://labs.creativecommons.org/licenses/zero/1.0/legalcode CC0 Waiver 1.0 Universal] (still in beta)"
"CeCILL",,"unknown",,"- The CeCILL license, a French Free Software license crafted to be compatible with the GNU General Public License."
"Coat of Arms",,"unknown",,"- for coats of arms. Note: though the ''composition'' of coats of arms is usually PD (and may be represented anew without ""derivative work"" consideration), a given artistic representation is a work of art on its own right, subject to copyright. Be sure to check."
"Copyright by Wikimedia",,"nonfree",,"- for all-rights-reserved images copyrighted by the Wikimedia foundation, as for example the logos, and should not be combined with other tags."
"Copyrighted free use","Copyrighted free use","free-display",,"- Copyrighted, but the copyright holder allows anyone to use it for any purpose."
"Copyvio",,"nonfree",,"- Copyright violation. This image will need to be deleted."
"EU image",,"nonfree",,"- Images from the [http://europa.eu.int/ website] of the [[European Union]] are copyrighted and derivative works and commercial use are not authorized."
"Fairuse",,"nonfree",,"- Copyrighted content that may be used as ''fair-use'', but since the commons does not accept ''fair use'' content this image will need to be deleted. [[Commons:Licensing#Material under the fair use clause is not allowed on the Commons|See here for details why]]."
"FAL","Free Art License","free-display",,"- Free Art License, a free license published by Copyleft Attitude, can be applied to digital as well as to non-digital art. ''With this Free Art License, you are authorised to copy, distribute and freely transform the work of art while respecting the rights of the originator.'"
"Faroe stamps","Faroe stamps","free-display",,"- for stamps by the Faroe post office in the public domain."
"FOP",,"unknown",,"- for photos taken under the legal exception of the freedom of panorama (Panoramafreiheit)"
"FrenchMinistryOfForeignAffairs",,"nonfree",,"- Photographs of the French Ministry of Foreign Affairs, no commercial use permitted."
"FWL",,"unknown",,"Freie Wiki-Lizenz Version 1.0 [http://www.wikiweise.de/wiki/Wikiweise%3AFreie%20Wiki-Lizenz]"
"GFDL","GNU Free Documentation License","free-display",,"- GNU Free Documentation License"
"GFDL","GNU Free Documentation License","free-display",,". This will display license information on the description page, and categorize the file accordingly. You can also insert any of these tags manually into the upload summary. The tags can be viewed and edited at [&#91;Template:Tag name]], e.g. [[Template:GFDL]] for &#123;{GFDL}}."
"GFDL-1.2","GNU Free Documentation License","free-display",,"- for works released under the GNU Free Documentation License version 1.2 specifically."
"GFDL-en","GNU Free Documentation License","free-display",,"- for works from the English Wikipedia, and originally licensed as GFDL there.  The GFDL on EN is slightly different, in that it is ""subject to [[w:Wikipedia:General disclaimer|disclaimers]]""."
"GFDL-Landsat-Kashmir3d","GNU Free Documentation License","free-display",,"- [http://www.kashmir3d.com/index-e.html Kashmir 3D] Images from http://glcfapp.umiacs.umd.edu:8080/esdi/"
"GFDL-OpenGeoDB","GNU Free Documentation License","free-display",,"- Images from http://opengeodb.de"
"GFDL-self","GNU Free Documentation License","free-display",,"- for works released per the GNU Free Documentation License by their creators."
"GFDL-user","GNU Free Documentation License","free-display",,"- for works by other Commons users that are under the GNU Free Documentation License."
"GFDL-user|''lang''","GNU Free Documentation License","free-display",,"- for works from other wikimedia projects. ''lang'' is an optional parameter."
"GPL","GNU General Public License","free-display",,"- GNU General Public License; ''Note: do not use this as the only license for your work if you can avoid it. The GPL is intended for computer programs, not for media files.''"
"GWPDA",,"unknown",,"- for images from the [http://www.gwpda.org/ Great War Primary Documents Archive] (public domain status of each image has to be verified!)"
"insignia",,"unknown",,"- for flags, coat of arms, seals or other official insignia."
"IPPAR",,"unknown",,"- for images from http://www.ippar.pt/"
"IRFCA",,"nonfree",,"- Photographs from [http://www.irfca.org Indian Railways Fan Club], All rights reserved."
"Kirkeinfo",,"unknown",,"- photos from the media database of the Church of Norway"
"Kopimi",,"unknown",,"- When the copyright owner ''wants'' people to copy, modify, and distribute the file/image."
"LGPL","GNU Lesser General Public License","free-display",,"- GNU Lesser General Public License; ''Note: do not use this as the only license for your work if you can avoid it. The LGPL is intended for computer programs, not for media files.''"
"LOC-image",,"unknown",,"- for images sourced from the US Library of Congress"
"LOC-map",,"unknown",,"- for map images sourced from the US Library of Congress"
"MdB",,"unknown",,"- Images of the brazilian Navy. cc-by-2.5-br"
"Members of the Riksdag",,"nonfree",,"photos of members of the Swedish parliament, from http://www.riksdagen.se/. No commercial use permitted."
"Met.no",,"unknown",,"- images without a byline from the Norwegian Meteorological Institute"
"MPL",,"unknown",,"Mozilla Public License Version 1.1"
"NARA-image",,"unknown",,"- for images sourced from the US National Archives' Archival Research Catalog"
"Nazi symbol",,"unknown",,"- for images showing or resembling a symbol of the Nazi party or a similar organisation, especially the swastika. The use of such images is restricted in Germany and other countries. The copyright status must be indicated separately."
"Noncommercial",,"nonfree",,"- Noncommercial copyright status. This image will have to be deleted."
"Nonderivative",,"nonfree",,"- Copyright status that does not allow changes to the image or file. This image will have to be deleted."
"Norwegian coat of arms",,"unknown",,"- Norwegian coats of arms"
"Not-PD-US-URAA",,"unknown",,"or {{tlp|Not-PD-US-URAA|''country''|''[[:en:Wikipedia:Non-U.S. copyrights|URAA date]]''}} for works published 1923 or later, but copyrighted in the source country ''on the URAA date'', even if that non-U.S. copyright has expired since then. ''Note that this concerns all works published 1923 or later of authors who died after 1925 (for source countries with a copyright term of ""life of author plus 70 years"").''"
"NZCrownCopyright",,"nonfree",,"- Some New Zealand Government departments allow their material to be reproduced free of charge in any format or medium provided, but it must be reproduced accurately and not used in a misleading context, making this a nonderivative license."
"oldOS",,"unknown",,"- for OS maps published over 50 years ago."
"Open Font",,"unknown",,"- for fonts or characters licensed under the [http://scripts.sil.org/OFL SIL Open Font License]"
"patent",,"unknown",,"- Patent drawings."
"PCL",,"unknown",,"- for images copied from the Perry-Castañeda Library (PCL) of the University of Texas at Austin. (public domain status of each image has to be verified!)"
"PD-1923","Public Domain","free-display",,"for works [[:en:publication|published]] (not simply created!) before January 1, 1923."
"PD-1923","Public Domain","free-display",,"'in addition'' to the appropriate copyright tag for the source country."
"PD-1923","Public Domain","free-display",,"- published in the US before 1923."
"PD-1996","Public Domain","free-display",,"- public domain in a source country on January 1, 1996 and in the US."
"PD-Abdul Hamid","Public Domain","free-display",,"- for images from the Abdul-Hamid II Collection"
"PD-Albania-exempt","Public Domain","free-display",,"- For work not copyrightable under the copyright law of 2005."
"PD-Algeria","Public Domain","free-display",,"- Photographs 50 years after publication, starting from the end of the publication year."
"PD-AM-exempt","Public Domain","free-display",,"- for works of folklore; communications on daily news or on current events that are press information; official documents (laws, decisions, decrees, etc.) as well as their official translations; state emblems and signs (flags, coats of arm (armorial bearings), medals (decorations), monetary signs, etc.); results obtained by technical means without the intervention of human creative activity."
"PD-AR-Anonymous","Public Domain","free-display",,"- for anonymous works belonging to an institution, corporation or legal entity, registered in Argentina published 50 years ago or more"
"PD-AR-Movie","Public Domain","free-display",,"- for Argentinian cinematographic works 50 years after the death of the script writer, the producer and the director."
"PD-AR-Photo","Public Domain","free-display",,"- for Argentinian photographs first published more than 25 years ago. A proper source and date of publications has to be provided."
"PD-Australia","Public Domain","free-display",,"- for Australian photographs published 70 years after the life of the creator, or photographs taken prior to 1955."
"PD-AustrianGov","Public Domain","free-display",,"- for parts of laws, ordinances or official decrees issued by an Austrian federal or state authority and for works of those authorities intended predominantly for official use."
